DisplayName , LogicalName , PrimaryIdAttribute , PrimaryNameAttribute
Microsoft Entra ID , aaduser , aaduserid , displayname
Account , account , accountid , name
AccountLeads , accountleads , accountleadid , name
ACIViewMapper , aciviewmapper , aciviewmapperid , 
Action Card , actioncard , actioncardid , title
Action Card User Settings , actioncardusersettings , actioncardusersettingsid , 
ActionCardUserState , actioncarduserstate , actioncarduserstateid , 
Activity File Attachment , activityfileattachment , activityfileattachmentid , filename
Attachment , activitymimeattachment , activitymimeattachmentid , filename
Activity monitor , activitymonitor , activitymonitorid , name
Activity Party , activityparty , activitypartyid , partyidname
Activity , activitypointer , activityid , subject
admin_settings_entity , adminsettingsentity , adminsettingsentityid , new_name
Advanced Similarity Rule , advancedsimilarityrule , advancedsimilarityruleid , name
External Identity , adx_externalidentity , adx_externalidentityid , adx_username
Invitation , adx_invitation , adx_invitationid , adx_name
adx_invitation_invitecontacts , adx_invitation_invitecontacts , adx_invitation_invitecontactsid , 
adx_invitation_mspp_webrole_powerpagecomponent , adx_invitation_mspp_webrole_powerpagecomponent , adx_invitation_mspp_webrole_powerpagecomponentid , 
adx_invitation_redeemedcontacts , adx_invitation_redeemedcontacts , adx_invitation_redeemedcontactsid , 
Invite Redemption , adx_inviteredemption , activityid , subject
adx_kbarticle_kbarticle , adx_kbarticle_kbarticle , adx_kbarticle_kbarticleid , 
Portal Comment , adx_portalcomment , activityid , subject
Setting , adx_setting , adx_settingid , adx_name
Multistep Form Session , adx_webformsession , adx_webformsessionid , adx_name
AICopilot , aicopilot , aicopilotid , name
AICopilot_AIPlugin , aicopilot_aiplugin , aicopilot_aipluginid , 
AIPlugin , aiplugin , aipluginid , name
AIPluginAuth , aipluginauth , aipluginauthid , name
AI Plugin Conversation Starter , aipluginconversationstarter , aipluginconversationstarterid , title
AI Plugin Conversation Starter Mapping , aipluginconversationstartermapping , aipluginconversationstartermappingid , name
AIPluginExternalSchema , aipluginexternalschema , aipluginexternalschemaid , name
AIPluginExternalSchemaProperty , aipluginexternalschemaproperty , aipluginexternalschemapropertyid , name
AI Plugin Governance , aiplugingovernance , aiplugingovernanceid , name
AI Plugin Governance Extended , aiplugingovernanceext , aiplugingovernanceextid , name
AIPluginInstance , aiplugininstance , aiplugininstanceid , name
AIPluginOperation , aipluginoperation , aipluginoperationid , name
AIPluginOperationParameter , aipluginoperationparameter , aipluginoperationparameterid , name
AIPluginOperationResponseTemplate , aipluginoperationresponsetemplate , aipluginoperationresponsetemplateid , name
AIPluginTitle , aiplugintitle , aiplugintitleid , name
AIPluginUserSetting , aipluginusersetting , aipluginusersettingid , name
Note , annotation , annotationid , subject
Annual Fiscal Calendar , annualfiscalcalendar , userfiscalcalendarid , 
App Action , appaction , appactionid , name
appaction_appactionrule_classicrules , appaction_appactionrule_classicrules , appaction_appactionrule_classicrulesid , 
App Action Migration , appactionmigration , appactionmigrationid , name
App Action Rule , appactionrule , appactionruleid , name
appactionrule_webresource_scripts , appactionrule_webresource_scripts , appactionrule_webresource_scriptsid , 
App Configuration , appconfig , appconfigid , 
App Configuration Instance , appconfiginstance , appconfiginstanceid , 
App Config Master , appconfigmaster , appconfigmasterid , name
Model-Driven App Element , appelement , appelementid , name
Application , application , applicationid , name
Application File , applicationfile , fileid , 
ApplicationRoles , applicationroles , applicationrolesid , 
ApplicationUser , applicationuser , applicationuserid , applicationname
applicationuserprofile , applicationuserprofile , applicationuserprofileid , 
applicationuserrole , applicationuserrole , applicationuserroleid , 
Model-driven App , appmodule , appmoduleid , name
App Module Component , appmodulecomponent , appmodulecomponentid , 
Model-Driven App Component Node's Edge , appmodulecomponentedge , appmodulecomponentedgeid , name
Model-Driven App Component Node , appmodulecomponentnode , appmodulecomponentnodeid , name
AppModule Metadata , appmodulemetadata , appmodulemetadataid , 
AppModule Metadata Dependency , appmodulemetadatadependency , appmodulemetadatadependencyid , 
AppModule Metadata Async Operation , appmodulemetadataoperationlog , appmodulemetadataoperationlogid , 
App Module Roles , appmoduleroles , appmoduleroleid , 
Notification , appnotification , appnotificationid , title
Appointment , appointment , activityid , subject
Model-Driven App Setting , appsetting , appsettingid , displayname
Model-Driven App User Setting , appusersetting , appusersettingid , displayname
ArchiveCleanupInfo , archivecleanupinfo , archivecleanupinfoid , name
ArchiveCleanupOperation , archivecleanupoperation , archivecleanupoperationid , name
System Job , asyncoperation , asyncoperationid , name
Attachment , attachment , attachmentid , filename
Attribute , attribute , attributeid , name
Image Attribute Configuration , attributeimageconfig , attributeimageconfigid , attributelogicalname
Attribute Map , attributemap , attributemapid , 
Attribute Masking Rule , attributemaskingrule , attributemaskingruleid , uniquename
Auditing , audit , auditid , 
Authorization Server , authorizationserver , authorizationserverid , name
Available Times , availabletimes , availabletimesid , name
Available Times Data Source , availabletimesdatasource , availabletimesdatasourceid , name
Azure Service Connection , azureserviceconnection , azureserviceconnectionid , name
Background Operation , backgroundoperation , backgroundoperationid , name
Bookable Resource , bookableresource , bookableresourceid , name
Bookable Resource Booking , bookableresourcebooking , bookableresourcebookingid , name
Bookable Resource Booking to Exchange Id Mapping , bookableresourcebookingexchangesyncidmapping , bookableresourcebookingexchangesyncidmappingid , name
Bookable Resource Booking Header , bookableresourcebookingheader , bookableresourcebookingheaderid , name
Bookable Resource Category , bookableresourcecategory , bookableresourcecategoryid , name
Bookable Resource Category Assn , bookableresourcecategoryassn , bookableresourcecategoryassnid , name
Bookable Resource Characteristic , bookableresourcecharacteristic , bookableresourcecharacteristicid , name
Bookable Resource Group , bookableresourcegroup , bookableresourcegroupid , name
Booking Status , bookingstatus , bookingstatusid , name
Chatbot , bot , botid , name
bot_botcomponent , bot_botcomponent , bot_botcomponentid , 
bot_botcomponentcollection , bot_botcomponentcollection , bot_botcomponentcollectionid , 
bot_environmentvariabledefinition , bot_environmentvariabledefinition , bot_environmentvariabledefinitionid , 
Chatbot subcomponent , botcomponent , botcomponentid , name
botcomponent_aipluginoperation , botcomponent_aipluginoperation , botcomponent_aipluginoperationid , 
botcomponent_botcomponent , botcomponent_botcomponent , botcomponent_botcomponentid , 
botcomponent_connectionreference , botcomponent_connectionreference , botcomponent_connectionreferenceid , 
botcomponent_dvtablesearch , botcomponent_dvtablesearch , botcomponent_dvtablesearchid , 
botcomponent_environmentvariabledefinition , botcomponent_environmentvariabledefinition , botcomponent_environmentvariabledefinitionid , 
botcomponent_msdyn_aimodel , botcomponent_msdyn_aimodel , botcomponent_msdyn_aimodelid , 
botcomponent_workflow , botcomponent_workflow , botcomponent_workflowid , 
Chatbot component collection , botcomponentcollection , botcomponentcollectionid , name
BulkArchiveConfig , bulkarchiveconfig , bulkarchiveconfigid , name
BulkArchiveFailureDetail , bulkarchivefailuredetail , bulkarchivefailuredetailid , name
BulkArchiveOperation , bulkarchiveoperation , bulkarchiveoperationid , name
BulkArchiveOperationDetail , bulkarchiveoperationdetail , bulkarchiveoperationdetailid , name
Bulk Delete Failure , bulkdeletefailure , bulkdeletefailureid , 
Bulk Delete Operation , bulkdeleteoperation , bulkdeleteoperationid , name
Quick Campaign , bulkoperation , activityid , subject
Bulk Operation Log , bulkoperationlog , bulkoperationlogid , name
Business Data Localized Label , businessdatalocalizedlabel , businessdatalocalizedlabelid , 
Business Process Flow Instance , businessprocessflowinstance , businessprocessflowinstanceid , 
Business Unit , businessunit , businessunitid , name
Business Unit Map , businessunitmap , businessunitmapid , 
Announcement , businessunitnewsarticle , businessunitnewsarticleid , articletitle
Calendar , calendar , calendarid , name
Calendar Rule , calendarrule , calendarruleid , name
Callback Registration , callbackregistration , callbackregistrationid , name
Campaign , campaign , campaignid , name
Campaign Activity , campaignactivity , activityid , subject
Campaign Activity Item , campaignactivityitem , campaignactivityitemid , name
Campaign Item , campaignitem , campaignitemid , name
Campaign Response , campaignresponse , activityid , subject
Canvas App , canvasapp , canvasappid , name
CanvasApp Extended Metadata , canvasappextendedmetadata , canvasappextendedmetadataid , name
Card , card , cardid , name
cardentityconnections , cardentityconnections , cardentityconnectionsid , 
Card State Item , cardstateitem , cardstateitemid , name
Action Card Type , cardtype , cardtypeid , cardname
